"Номер занятия","Время","Недели","Аудитория","Адрес","Предмет","Чётность недели","Преподаватель","Формат"
"Занятие 1","11:40-13:10",[3; 7; 9; 11; 13; 15; 17],"2306/2 (БЫВШ. 305) АУД.","Кронверкский пр., д.49, лит.А","ИНФОРМАТИКА(ЛАБ)","нечетная неделя","Малышева Татьяна Алексеевна","Очно - дистанционный"
"Занятие 2","13:30-15:00",[3; 7; 9; 11; 13; 15; 17],"2306/2 (БЫВШ. 305) АУД.","Кронверкский пр., д.49, лит.А","ИНФОРМАТИКА(ЛАБ)","нечетная неделя","Малышева Татьяна Алексеевна","Очно - дистанционный"

